club_name,league,season,squad_value_m
SKN St. Pölten,Bundesliga Austria,2019/2020,10.55
TSV Hartberg,Bundesliga Austria,2019/2020,8.68
SV Mattersburg,Bundesliga Austria,2019/2020,7.2
WSG Tirol,Bundesliga Austria,2019/2020,7.08
Red Bull Salzburg,Bundesliga Austria,2020/2021,188.7
Rapid Vienna,Bundesliga Austria,2020/2021,43.35
LASK,Bundesliga Austria,2020/2021,36.13
SK Sturm Graz,Bundesliga Austria,2020/2021,27.85
Austria Vienna,Bundesliga Austria,2020/2021,23.6
Wolfsberger AC,Bundesliga Austria,2020/2021,19.45
WSG Tirol,Bundesliga Austria,2020/2021,14.1
SKN St. Pölten,Bundesliga Austria,2020/2021,12.23
FC Admira Wacker Mödling,Bundesliga Austria,2020/2021,12.18
SCR Altach,Bundesliga Austria,2020/2021,10.7
TSV Hartberg,Bundesliga Austria,2020/2021,10.53
SV Ried,Bundesliga Austria,2020/2021,9.2
Red Bull Salzburg,Bundesliga Austria,2021/2022,263.3
Rapid Vienna,Bundesliga Austria,2021/2022,45.28
SK Sturm Graz,Bundesliga Austria,2021/2022,37.93
LASK,Bundesliga Austria,2021/2022,30.8
Austria Vienna,Bundesliga Austria,2021/2022,23.9
Wolfsberger AC,Bundesliga Austria,2021/2022,20.48
FC Admira Wacker Mödling,Bundesliga Austria,2021/2022,13.7
WSG Tirol,Bundesliga Austria,2021/2022,13.28
SK Austria Klagenfurt,Bundesliga Austria,2021/2022,12.98
TSV Hartberg,Bundesliga Austria,2021/2022,11.9
SV Ried,Bundesliga Austria,2021/2022,9.58
SCR Altach,Bundesliga Austria,2021/2022,9.48
Red Bull Salzburg,Bundesliga Austria,2022/2023,267.08
SK Sturm Graz,Bundesliga Austria,2022/2023,101.98
LASK,Bundesliga Austria,2022/2023,40.78
Rapid Vienna,Bundesliga Austria,2022/2023,34.1
Austria Vienna,Bundesliga Austria,2022/2023,25.08
Wolfsberger AC,Bundesliga Austria,2022/2023,18.45
SCR Altach,Bundesliga Austria,2022/2023,15.68
SC Austria Lustenau,Bundesliga Austria,2022/2023,11.98
SK Austria Klagenfurt,Bundesliga Austria,2022/2023,11.93
TSV Hartberg,Bundesliga Austria,2022/2023,10.68
SV Ried,Bundesliga Austria,2022/2023,9.55
WSG Tirol,Bundesliga Austria,2022/2023,9.43
Red Bull Salzburg,Bundesliga Austria,2023/2024,230.5
SK Sturm Graz,Bundesliga Austria,2023/2024,82.33
LASK,Bundesliga Austria,2023/2024,47.85
Rapid Vienna,Bundesliga Austria,2023/2024,37.38
Wolfsberger AC,Bundesliga Austria,2023/2024,23.18
Austria Vienna,Bundesliga Austria,2023/2024,22.93
TSV Hartberg,Bundesliga Austria,2023/2024,17.08
SK Austria Klagenfurt,Bundesliga Austria,2023/2024,12.85
SCR Altach,Bundesliga Austria,2023/2024,10.95
WSG Tirol,Bundesliga Austria,2023/2024,9.7
SC Austria Lustenau,Bundesliga Austria,2023/2024,9.0
FC Blau-Weiss Linz,Bundesliga Austria,2023/2024,8.63
Red Bull Salzburg,Bundesliga Austria,2024/2025,211.08
SK Sturm Graz,Bundesliga Austria,2024/2025,119.8
Rapid Vienna,Bundesliga Austria,2024/2025,50.8
LASK,Bundesliga Austria,2024/2025,37.35
Wolfsberger AC,Bundesliga Austria,2024/2025,36.38
Austria Vienna,Bundesliga Austria,2024/2025,24.53
FC Blau-Weiss Linz,Bundesliga Austria,2024/2025,14.88
TSV Hartberg,Bundesliga Austria,2024/2025,13.83
SCR Altach,Bundesliga Austria,2024/2025,11.08
Grazer AK 1902,Bundesliga Austria,2024/2025,10.05
SK Austria Klagenfurt,Bundesliga Austria,2024/2025,8.98
WSG Tirol,Bundesliga Austria,2024/2025,8.78
FC Basel 1893,Swiss Super League,2019/2020,63.45
BSC Young Boys,Swiss Super League,2019/2020,61.93
FC Zürich,Swiss Super League,2019/2020,29.38
FC Sion,Swiss Super League,2019/2020,25.75
FC Luzern,Swiss Super League,2019/2020,23.6
FC Lugano,Swiss Super League,2019/2020,21.5
FC St. Gallen 1879,Swiss Super League,2019/2020,21.33
FC Thun,Swiss Super League,2019/2020,18.78
Servette FC,Swiss Super League,2019/2020,14.55
Neuchâtel Xamax FCS,Swiss Super League,2019/2020,11.88
BSC Young Boys,Swiss Super League,2020/2021,62.2
FC Basel 1893,Swiss Super League,2020/2021,54.83
FC St. Gallen 1879,Swiss Super League,2020/2021,29.3
FC Zürich,Swiss Super League,2020/2021,28.25
FC Lausanne-Sport,Swiss Super League,2020/2021,27.25
Servette FC,Swiss Super League,2020/2021,26.7
FC Luzern,Swiss Super League,2020/2021,22.35
FC Lugano,Swiss Super League,2020/2021,17.15
FC Sion,Swiss Super League,2020/2021,14.48
FC Vaduz,Swiss Super League,2020/2021,8.1
BSC Young Boys,Swiss Super League,2021/2022,74.98
FC Basel 1893,Swiss Super League,2021/2022,74.03
FC Zürich,Swiss Super League,2021/2022,44.8
FC St. Gallen 1879,Swiss Super League,2021/2022,31.05
Grasshopper Club Zurich,Swiss Super League,2021/2022,30.75
Servette FC,Swiss Super League,2021/2022,28.15
FC Lausanne-Sport,Swiss Super League,2021/2022,25.18
FC Lugano,Swiss Super League,2021/2022,22.75
FC Luzern,Swiss Super League,2021/2022,21.1
FC Sion,Swiss Super League,2021/2022,20.53
BSC Young Boys,Swiss Super League,2022/2023,80.88
FC Basel 1893,Swiss Super League,2022/2023,63.6
FC Zürich,Swiss Super League,2022/2023,47.43
FC Luzern,Swiss Super League,2022/2023,32.53
FC St. Gallen 1879,Swiss Super League,2022/2023,29.23
Grasshopper Club Zurich,Swiss Super League,2022/2023,27.46
Servette FC,Swiss Super League,2022/2023,26.1
FC Lugano,Swiss Super League,2022/2023,25.81
FC Sion,Swiss Super League,2022/2023,15.68
FC Winterthur,Swiss Super League,2022/2023,10.75
FC Basel 1893,Swiss Super League,2023/2024,92.5
BSC Young Boys,Swiss Super League,2023/2024,84.78
FC Lugano,Swiss Super League,2023/2024,53.48
FC Lausanne-Sport,Swiss Super League,2023/2024,40.75
Servette FC,Swiss Super League,2023/2024,34.53
FC St. Gallen 1879,Swiss Super League,2023/2024,33.28
FC Luzern,Swiss Super League,2023/2024,31.3
Grasshopper Club Zurich,Swiss Super League,2023/2024,24.0
FC Zürich,Swiss Super League,2023/2024,22.5
Yverdon Sport FC,Swiss Super League,2023/2024,22.05
FC Winterthur,Swiss Super League,2023/2024,19.4
FC Stade-Lausanne-Ouchy,Swiss Super League,2023/2024,18.7
FC Basel 1893,Swiss Super League,2024/2025,99.8
BSC Young Boys,Swiss Super League,2024/2025,84.95
FC Lugano,Swiss Super League,2024/2025,71.3
FC Lausanne-Sport,Swiss Super League,2024/2025,52.6
FC Luzern,Swiss Super League,2024/2025,45.35
FC St. Gallen 1879,Swiss Super League,2024/2025,38.18
FC Zürich,Swiss Super League,2024/2025,36.48
Servette FC,Swiss Super League,2024/2025,33.4
Yverdon Sport FC,Swiss Super League,2024/2025,29.95
FC Sion,Swiss Super League,2024/2025,26.3
Grasshopper Club Zurich,Swiss Super League,2024/2025,24.3
FC Winterthur,Swiss Super League,2024/2025,12.2
FC Copenhagen,Danish Superliga,2019/2020,53.2
FC Midtjylland,Danish Superliga,2019/2020,30.38
FC Nordsjaelland,Danish Superliga,2019/2020,22.68
Bröndby IF,Danish Superliga,2019/2020,22.25
Esbjerg fB,Danish Superliga,2019/2020,13.3
Aalborg BK,Danish Superliga,2019/2020,12.78
Aarhus GF,Danish Superliga,2019/2020,12.73
Odense Boldklub,Danish Superliga,2019/2020,12.03
SönderjyskE,Danish Superliga,2019/2020,9.75
Randers FC,Danish Superliga,2019/2020,9.05
Silkeborg IF,Danish Superliga,2019/2020,8.73
AC Horsens,Danish Superliga,2019/2020,7.55
Hobro IK,Danish Superliga,2019/2020,7.33
Lyngby Boldklub,Danish Superliga,2019/2020,6.73
FC Midtjylland,Danish Superliga,2020/2021,55.05
FC Copenhagen,Danish Superliga,2020/2021,41.2
FC Nordsjaelland,Danish Superliga,2020/2021,36.25
Bröndby IF,Danish Superliga,2020/2021,32.3
Aarhus GF,Danish Superliga,2020/2021,22.4
Vejle Boldklub,Danish Superliga,2020/2021,15.98
Aalborg BK,Danish Superliga,2020/2021,14.8
SönderjyskE,Danish Superliga,2020/2021,14.45
Odense Boldklub,Danish Superliga,2020/2021,13.85
Randers FC,Danish Superliga,2020/2021,11.4
AC Horsens,Danish Superliga,2020/2021,8.9
Lyngby Boldklub,Danish Superliga,2020/2021,8.9
FC Copenhagen,Danish Superliga,2021/2022,106.65
FC Midtjylland,Danish Superliga,2021/2022,64.2
Bröndby IF,Danish Superliga,2021/2022,37.95
FC Nordsjaelland,Danish Superliga,2021/2022,28.2
Aarhus GF,Danish Superliga,2021/2022,18.7
Randers FC,Danish Superliga,2021/2022,17.15
Aalborg BK,Danish Superliga,2021/2022,16.15
Vejle Boldklub,Danish Superliga,2021/2022,15.9
Silkeborg IF,Danish Superliga,2021/2022,13.15
Odense Boldklub,Danish Superliga,2021/2022,12.98
SönderjyskE,Danish Superliga,2021/2022,12.03
Viborg FF,Danish Superliga,2021/2022,10.55
FC Copenhagen,Danish Superliga,2022/2023,88.4
FC Midtjylland,Danish Superliga,2022/2023,68.93
FC Nordsjaelland,Danish Superliga,2022/2023,47.65
Bröndby IF,Danish Superliga,2022/2023,39.25
Aarhus GF,Danish Superliga,2022/2023,26.2
Aalborg BK,Danish Superliga,2022/2023,19.4
Odense Boldklub,Danish Superliga,2022/2023,18.9
Silkeborg IF,Danish Superliga,2022/2023,18.25
Randers FC,Danish Superliga,2022/2023,17.65
Viborg FF,Danish Superliga,2022/2023,17.2
AC Horsens,Danish Superliga,2022/2023,15.3
Lyngby Boldklub,Danish Superliga,2022/2023,11.6
FC Copenhagen,Danish Superliga,2023/2024,97.7
FC Nordsjaelland,Danish Superliga,2023/2024,85.58
FC Midtjylland,Danish Superliga,2023/2024,71.2
Bröndby IF,Danish Superliga,2023/2024,55.93
Aarhus GF,Danish Superliga,2023/2024,25.33
Viborg FF,Danish Superliga,2023/2024,25.1
Silkeborg IF,Danish Superliga,2023/2024,24.3
Lyngby Boldklub,Danish Superliga,2023/2024,19.45
Randers FC,Danish Superliga,2023/2024,18.58
Odense Boldklub,Danish Superliga,2023/2024,18.48
Vejle Boldklub,Danish Superliga,2023/2024,17.36
Hvidovre IF,Danish Superliga,2023/2024,8.43
FC Copenhagen,Danish Superliga,2024/2025,126.23
FC Nordsjaelland,Danish Superliga,2024/2025,100.15
FC Midtjylland,Danish Superliga,2024/2025,95.55
Bröndby IF,Danish Superliga,2024/2025,78.53
Silkeborg IF,Danish Superliga,2024/2025,30.35
Viborg FF,Danish Superliga,2024/2025,27.6
Aarhus GF,Danish Superliga,2024/2025,25.93
Randers FC,Danish Superliga,2024/2025,23.55
Aalborg BK,Danish Superliga,2024/2025,21.98
Vejle Boldklub,Danish Superliga,2024/2025,15.98
Lyngby Boldklub,Danish Superliga,2024/2025,15.35
Sönderjyske Fodbold,Danish Superliga,2024/2025,15.28
Rosenborg BK,Eliteserien,2019/2020,31.45
SK Brann,Eliteserien,2019/2020,13.45
Molde FK,Eliteserien,2019/2020,12.65
Vålerenga Fotball Elite,Eliteserien,2019/2020,9.78
Sarpsborg 08 FF,Eliteserien,2019/2020,9.75
Stabæk Fotball,Eliteserien,2019/2020,8.03
FK Haugesund,Eliteserien,2019/2020,7.95
Odds BK,Eliteserien,2019/2020,7.3
Kristiansund BK,Eliteserien,2019/2020,6.6
IK Start,Eliteserien,2019/2020,6.03
Aalesunds FK,Eliteserien,2019/2020,5.95
Viking FK,Eliteserien,2019/2020,5.58
Mjøndalen IF,Eliteserien,2019/2020,5.4
FK Bodø/Glimt,Eliteserien,2019/2020,5.2
Strømsgodset IF,Eliteserien,2019/2020,4.88
Sandefjord Fotball,Eliteserien,2019/2020,4.73
Rosenborg BK,Eliteserien,2020/2021,27.63
Molde FK,Eliteserien,2020/2021,20.9
SK Brann,Eliteserien,2020/2021,13.0
FK Bodø/Glimt,Eliteserien,2020/2021,12.2
Sarpsborg 08 FF,Eliteserien,2020/2021,10.2
Stabæk Fotball,Eliteserien,2020/2021,9.7
Viking FK,Eliteserien,2020/2021,9.65
Vålerenga Fotball Elite,Eliteserien,2020/2021,9.2
Lillestrøm SK,Eliteserien,2020/2021,8.05
FK Haugesund,Eliteserien,2020/2021,7.8
Strømsgodset IF,Eliteserien,2020/2021,7.53
Kristiansund BK,Eliteserien,2020/2021,7.38
Odds BK,Eliteserien,2020/2021,7.2
Tromsø IL,Eliteserien,2020/2021,5.3
Sandefjord Fotball,Eliteserien,2020/2021,4.93
Mjøndalen IF,Eliteserien,2020/2021,4.83
FK Bodø/Glimt,Eliteserien,2021/2022,23.5
Rosenborg BK,Eliteserien,2021/2022,19.23
Molde FK,Eliteserien,2021/2022,19.0
Vålerenga Fotball Elite,Eliteserien,2021/2022,14.38
Lillestrøm SK,Eliteserien,2021/2022,11.48
Sarpsborg 08 FF,Eliteserien,2021/2022,10.03
Viking FK,Eliteserien,2021/2022,9.48
Odds BK,Eliteserien,2021/2022,8.95
Aalesunds FK,Eliteserien,2021/2022,8.1
FK Haugesund,Eliteserien,2021/2022,6.73
Kristiansund BK,Eliteserien,2021/2022,6.15
Strømsgodset IF,Eliteserien,2021/2022,5.78
Sandefjord Fotball,Eliteserien,2021/2022,5.75
Tromsø IL,Eliteserien,2021/2022,4.8
Hamarkameratene,Eliteserien,2021/2022,4.7
FK Jerv,Eliteserien,2021/2022,4.38
FK Bodø/Glimt,Eliteserien,2022/2023,20.2
Molde FK,Eliteserien,2022/2023,19.85
Rosenborg BK,Eliteserien,2022/2023,14.55
Vålerenga Fotball Elite,Eliteserien,2022/2023,12.35
Viking FK,Eliteserien,2022/2023,12.33
Lillestrøm SK,Eliteserien,2022/2023,10.85
Aalesunds FK,Eliteserien,2022/2023,9.2
Sarpsborg 08 FF,Eliteserien,2022/2023,9.03
SK Brann,Eliteserien,2022/2023,7.65
Stabæk Fotball,Eliteserien,2022/2023,7.1
Hamarkameratene,Eliteserien,2022/2023,6.18
Odds BK,Eliteserien,2022/2023,5.88
FK Haugesund,Eliteserien,2022/2023,5.7
Strømsgodset IF,Eliteserien,2022/2023,5.38
Tromsø IL,Eliteserien,2022/2023,3.85
Sandefjord Fotball,Eliteserien,2022/2023,3.83
FK Bodø/Glimt,Eliteserien,2023/2024,39.13
Molde FK,Eliteserien,2023/2024,34.0
Rosenborg BK,Eliteserien,2023/2024,27.75
Viking FK,Eliteserien,2023/2024,14.45
Lillestrøm SK,Eliteserien,2023/2024,12.88
Sarpsborg 08 FF,Eliteserien,2023/2024,12.7
SK Brann,Eliteserien,2023/2024,11.1
Odds BK,Eliteserien,2023/2024,10.25
Hamarkameratene,Eliteserien,2023/2024,8.53
Fredrikstad FK,Eliteserien,2023/2024,7.6
Tromsø IL,Eliteserien,2023/2024,7.53
Strømsgodset IF,Eliteserien,2023/2024,5.95
Kristiansund BK,Eliteserien,2023/2024,5.9
FK Haugesund,Eliteserien,2023/2024,5.4
KFUM-Kameratene Oslo,Eliteserien,2023/2024,4.7
Sandefjord Fotball,Eliteserien,2023/2024,4.46
FK Bodø/Glimt,Eliteserien,2024/2025,42.28
Molde FK,Eliteserien,2024/2025,35.9
Rosenborg BK,Eliteserien,2024/2025,24.43
SK Brann,Eliteserien,2024/2025,22.3
Viking FK,Eliteserien,2024/2025,15.8
Sarpsborg 08 FF,Eliteserien,2024/2025,13.78
Tromsø IL,Eliteserien,2024/2025,13.53
Vålerenga Fotball Elite,Eliteserien,2024/2025,12.63
Strømsgodset IF,Eliteserien,2024/2025,9.73
Fredrikstad FK,Eliteserien,2024/2025,8.95
Kristiansund BK,Eliteserien,2024/2025,7.58
Hamarkameratene,Eliteserien,2024/2025,7.18
FK Haugesund,Eliteserien,2024/2025,6.73
KFUM-Kameratene Oslo,Eliteserien,2024/2025,6.63
Sandefjord Fotball,Eliteserien,2024/2025,6.25
Bryne FK,Eliteserien,2024/2025,5.43
Malmö FF,Allsvenskan,2019/2020,26.73
AIK,Allsvenskan,2019/2020,21.4
Helsingborgs IF,Allsvenskan,2019/2020,15.58
IFK Göteborg,Allsvenskan,2019/2020,15.4
IFK Norrköping,Allsvenskan,2019/2020,14.83
Djurgårdens IF,Allsvenskan,2019/2020,14.78
Hammarby IF,Allsvenskan,2019/2020,12.75
BK Häcken,Allsvenskan,2019/2020,11.89
Kalmar FF,Allsvenskan,2019/2020,10.25
IF Elfsborg,Allsvenskan,2019/2020,10.1
Örebro SK,Allsvenskan,2019/2020,7.75
Östersunds FK,Allsvenskan,2019/2020,6.88
IK Sirius,Allsvenskan,2019/2020,4.98
Mjällby AIF,Allsvenskan,2019/2020,4.43
Falkenbergs FF,Allsvenskan,2019/2020,4.15
Varbergs BoIS,Allsvenskan,2019/2020,2.18
Malmö FF,Allsvenskan,2020/2021,28.55
IFK Göteborg,Allsvenskan,2020/2021,26.75
Hammarby IF,Allsvenskan,2020/2021,17.25
Djurgårdens IF,Allsvenskan,2020/2021,16.9
AIK,Allsvenskan,2020/2021,16.63
BK Häcken,Allsvenskan,2020/2021,14.73
IFK Norrköping,Allsvenskan,2020/2021,12.9
Örebro SK,Allsvenskan,2020/2021,10.7
IF Elfsborg,Allsvenskan,2020/2021,9.25
Mjällby AIF,Allsvenskan,2020/2021,8.78
Kalmar FF,Allsvenskan,2020/2021,7.5
IK Sirius,Allsvenskan,2020/2021,7.08
Östersunds FK,Allsvenskan,2020/2021,6.85
Degerfors IF,Allsvenskan,2020/2021,5.05
Halmstads BK,Allsvenskan,2020/2021,4.48
Varbergs BoIS,Allsvenskan,2020/2021,3.95
Malmö FF,Allsvenskan,2021/2022,36.93
IFK Norrköping,Allsvenskan,2021/2022,22.15
AIK,Allsvenskan,2021/2022,20.35
BK Häcken,Allsvenskan,2021/2022,19.43
Hammarby IF,Allsvenskan,2021/2022,19.3
IF Elfsborg,Allsvenskan,2021/2022,18.95
Djurgårdens IF,Allsvenskan,2021/2022,17.25
IFK Göteborg,Allsvenskan,2021/2022,16.5
IK Sirius,Allsvenskan,2021/2022,11.2
Helsingborgs IF,Allsvenskan,2021/2022,9.03
Mjällby AIF,Allsvenskan,2021/2022,8.98
Kalmar FF,Allsvenskan,2021/2022,8.5
Degerfors IF,Allsvenskan,2021/2022,8.03
GIF Sundsvall,Allsvenskan,2021/2022,6.8
Varbergs BoIS,Allsvenskan,2021/2022,4.4
IFK Värnamo,Allsvenskan,2021/2022,2.9
Malmö FF,Allsvenskan,2022/2023,42.65
AIK,Allsvenskan,2022/2023,24.11
Djurgårdens IF,Allsvenskan,2022/2023,20.95
IF Elfsborg,Allsvenskan,2022/2023,20.05
BK Häcken,Allsvenskan,2022/2023,19.35
IFK Norrköping,Allsvenskan,2022/2023,18.98
Hammarby IF,Allsvenskan,2022/2023,17.1
IFK Göteborg,Allsvenskan,2022/2023,15.23
IK Sirius,Allsvenskan,2022/2023,11.9
Degerfors IF,Allsvenskan,2022/2023,8.93
Kalmar FF,Allsvenskan,2022/2023,8.64
IF Brommapojkarna,Allsvenskan,2022/2023,7.38
IFK Värnamo,Allsvenskan,2022/2023,6.81
Mjällby AIF,Allsvenskan,2022/2023,6.13
Halmstads BK,Allsvenskan,2022/2023,4.98
Varbergs BoIS,Allsvenskan,2022/2023,4.85
Malmö FF,Allsvenskan,2023/2024,42.95
BK Häcken,Allsvenskan,2023/2024,30.65
AIK,Allsvenskan,2023/2024,27.5
Djurgårdens IF,Allsvenskan,2023/2024,27.38
IFK Göteborg,Allsvenskan,2023/2024,20.35
IF Elfsborg,Allsvenskan,2023/2024,19.98
Hammarby IF,Allsvenskan,2023/2024,18.8
IFK Norrköping,Allsvenskan,2023/2024,15.65
Kalmar FF,Allsvenskan,2023/2024,14.11
IF Brommapojkarna,Allsvenskan,2023/2024,11.14
Halmstads BK,Allsvenskan,2023/2024,9.73
IFK Värnamo,Allsvenskan,2023/2024,8.71
IK Sirius,Allsvenskan,2023/2024,8.7
Västerås SK,Allsvenskan,2023/2024,8.32
Mjällby AIF,Allsvenskan,2023/2024,8.23
GAIS,Allsvenskan,2023/2024,2.05
Malmö FF,Allsvenskan,2024/2025,46.0
BK Häcken,Allsvenskan,2024/2025,30.43
Djurgårdens IF,Allsvenskan,2024/2025,28.4
AIK,Allsvenskan,2024/2025,27.75
IF Elfsborg,Allsvenskan,2024/2025,22.35
Hammarby IF,Allsvenskan,2024/2025,19.9
IFK Göteborg,Allsvenskan,2024/2025,18.5
IFK Norrköping,Allsvenskan,2024/2025,14.78
IK Sirius,Allsvenskan,2024/2025,13.2
IFK Värnamo,Allsvenskan,2024/2025,12.29
IF Brommapojkarna,Allsvenskan,2024/2025,11.55
Mjällby AIF,Allsvenskan,2024/2025,9.88
Halmstads BK,Allsvenskan,2024/2025,9.5
Östers IF,Allsvenskan,2024/2025,9.39
Degerfors IF,Allsvenskan,2024/2025,9.33
GAIS,Allsvenskan,2024/2025,6.18
Legia Warszawa,Ekstraklasa,2019/2020,34.68
Lech Poznan,Ekstraklasa,2019/2020,23.85
Jagiellonia Bialystok,Ekstraklasa,2019/2020,18.65
Lechia Gdansk,Ekstraklasa,2019/2020,14.45
Pogon Szczecin,Ekstraklasa,2019/2020,13.1
Piast Gliwice,Ekstraklasa,2019/2020,11.83
Zaglebie Lubin,Ekstraklasa,2019/2020,11.2
Cracovia,Ekstraklasa,2019/2020,10.78
Wisla Kraków,Ekstraklasa,2019/2020,10.1
Górnik Zabrze,Ekstraklasa,2019/2020,10.08
Slask Wroclaw,Ekstraklasa,2019/2020,9.15
Wisla Plock,Ekstraklasa,2019/2020,9.05
Arka Gdynia,Ekstraklasa,2019/2020,8.88
Korona Kielce,Ekstraklasa,2019/2020,8.0
Raków Częstochowa,Ekstraklasa,2019/2020,7.73
LKS Lodz,Ekstraklasa,2019/2020,6.6
Lech Poznan,Ekstraklasa,2020/2021,50.4
Legia Warszawa,Ekstraklasa,2020/2021,36.73
Raków Częstochowa,Ekstraklasa,2020/2021,23.93
Pogon Szczecin,Ekstraklasa,2020/2021,21.2
Jagiellonia Bialystok,Ekstraklasa,2020/2021,20.05
Cracovia,Ekstraklasa,2020/2021,17.53
Górnik Zabrze,Ekstraklasa,2020/2021,16.25
Zaglebie Lubin,Ekstraklasa,2020/2021,15.78
Wisla Kraków,Ekstraklasa,2020/2021,14.88
Lechia Gdansk,Ekstraklasa,2020/2021,14.5
Piast Gliwice,Ekstraklasa,2020/2021,13.9
Wisla Plock,Ekstraklasa,2020/2021,11.73
Slask Wroclaw,Ekstraklasa,2020/2021,11.45
Warta Poznan,Ekstraklasa,2020/2021,9.63
Stal Mielec,Ekstraklasa,2020/2021,7.5
Podbeskidzie Bielsko-Biala,Ekstraklasa,2020/2021,7.05
Lech Poznan,Ekstraklasa,2021/2022,46.55
Legia Warszawa,Ekstraklasa,2021/2022,36.78
Raków Częstochowa,Ekstraklasa,2021/2022,32.75
Pogon Szczecin,Ekstraklasa,2021/2022,28.68
Lechia Gdansk,Ekstraklasa,2021/2022,19.48
Górnik Zabrze,Ekstraklasa,2021/2022,18.05
Piast Gliwice,Ekstraklasa,2021/2022,16.75
Zaglebie Lubin,Ekstraklasa,2021/2022,16.7
Cracovia,Ekstraklasa,2021/2022,16.03
Slask Wroclaw,Ekstraklasa,2021/2022,13.95
Wisla Kraków,Ekstraklasa,2021/2022,13.23
Jagiellonia Bialystok,Ekstraklasa,2021/2022,13.1
Radomiak Radom,Ekstraklasa,2021/2022,12.53
Wisla Plock,Ekstraklasa,2021/2022,12.4
Warta Poznan,Ekstraklasa,2021/2022,10.33
Stal Mielec,Ekstraklasa,2021/2022,10.15
Bruk-Bet Termalica Nieciecza,Ekstraklasa,2021/2022,8.48
Gornik Leczna,Ekstraklasa,2021/2022,5.03
Raków Częstochowa,Ekstraklasa,2022/2023,38.23
Lech Poznan,Ekstraklasa,2022/2023,36.03
Legia Warszawa,Ekstraklasa,2022/2023,34.45
Pogon Szczecin,Ekstraklasa,2022/2023,19.2
Górnik Zabrze,Ekstraklasa,2022/2023,17.45
Cracovia,Ekstraklasa,2022/2023,17.13
Zaglebie Lubin,Ekstraklasa,2022/2023,15.3
Jagiellonia Bialystok,Ekstraklasa,2022/2023,14.88
Piast Gliwice,Ekstraklasa,2022/2023,12.68
Warta Poznan,Ekstraklasa,2022/2023,12.08
Radomiak Radom,Ekstraklasa,2022/2023,11.43
Slask Wroclaw,Ekstraklasa,2022/2023,10.7
Wisla Plock,Ekstraklasa,2022/2023,10.5
Widzew Lodz,Ekstraklasa,2022/2023,10.48
Stal Mielec,Ekstraklasa,2022/2023,9.73
Korona Kielce,Ekstraklasa,2022/2023,9.1
Miedz Legnica,Ekstraklasa,2022/2023,8.08
Lechia Gdansk,Ekstraklasa,2022/2023,7.78
Legia Warszawa,Ekstraklasa,2023/2024,43.63
Raków Częstochowa,Ekstraklasa,2023/2024,38.63
Lech Poznan,Ekstraklasa,2023/2024,32.6
Jagiellonia Bialystok,Ekstraklasa,2023/2024,21.78
Slask Wroclaw,Ekstraklasa,2023/2024,20.2
Górnik Zabrze,Ekstraklasa,2023/2024,18.8
Radomiak Radom,Ekstraklasa,2023/2024,18.58
Pogon Szczecin,Ekstraklasa,2023/2024,16.95
Zaglebie Lubin,Ekstraklasa,2023/2024,15.2
Cracovia,Ekstraklasa,2023/2024,13.45
Stal Mielec,Ekstraklasa,2023/2024,11.95
Piast Gliwice,Ekstraklasa,2023/2024,11.7
Widzew Lodz,Ekstraklasa,2023/2024,11.7
Korona Kielce,Ekstraklasa,2023/2024,9.45
Puszcza Niepolomice,Ekstraklasa,2023/2024,8.9
Ruch Chorzow,Ekstraklasa,2023/2024,8.88
LKS Lodz,Ekstraklasa,2023/2024,7.85
Warta Poznan,Ekstraklasa,2023/2024,7.35
Lech Poznan,Ekstraklasa,2024/2025,51.4
Raków Częstochowa,Ekstraklasa,2024/2025,44.48
Legia Warszawa,Ekstraklasa,2024/2025,43.55
Jagiellonia Bialystok,Ekstraklasa,2024/2025,36.85
Cracovia,Ekstraklasa,2024/2025,23.33
Pogon Szczecin,Ekstraklasa,2024/2025,20.9
Górnik Zabrze,Ekstraklasa,2024/2025,18.93
Zaglebie Lubin,Ekstraklasa,2024/2025,15.9
Slask Wroclaw,Ekstraklasa,2024/2025,14.66
Piast Gliwice,Ekstraklasa,2024/2025,14.1
Radomiak Radom,Ekstraklasa,2024/2025,13.73
Widzew Lodz,Ekstraklasa,2024/2025,13.7
Lechia Gdansk,Ekstraklasa,2024/2025,13.53
Motor Lublin,Ekstraklasa,2024/2025,12.98
Korona Kielce,Ekstraklasa,2024/2025,11.23
GKS Katowice,Ekstraklasa,2024/2025,10.3
Stal Mielec,Ekstraklasa,2024/2025,10.1
Puszcza Niepolomice,Ekstraklasa,2024/2025,7.9
SK Slavia Prague,Czech First League,2019/2020,62.8
AC Sparta Prague,Czech First League,2019/2020,36.08
FC Viktoria Plzen,Czech First League,2019/2020,31.05
FK Mlada Boleslav,Czech First League,2019/2020,18.88
FC Slovan Liberec,Czech First League,2019/2020,13.0
FK Jablonec,Czech First League,2019/2020,12.33
FC Banik Ostrava,Czech First League,2019/2020,10.9
SK Sigma Olomouc,Czech First League,2019/2020,9.75
FC Fastav Zlin,Czech First League,2019/2020,9.43
Bohemians Prague 1905,Czech First League,2019/2020,9.43
1.FC Slovacko,Czech First League,2019/2020,8.78
MFK Karvina,Czech First League,2019/2020,8.78
SK Dynamo Ceske Budejovice,Czech First League,2019/2020,8.63
FK Teplice,Czech First League,2019/2020,8.28
1.FK Pribram,Czech First League,2019/2020,8.2
Slezsky FC Opava,Czech First League,2019/2020,7.13
